tea_id,name,absolute_url
047902101,De Leon Elementary School,/districts/de-leon-isd/de-leon-elementary-school/
047902001,De Leon High School,/districts/de-leon-isd/de-leon-high-school/
108906046,De Leon Middle School,/districts/mcallen-isd/de-leon-middle-school/
101902155,De Santiago EC/Pre-K Center,/districts/aldine-isd/de-santiago-ecpre-k-center/
105902103,De Zavala Elementary School,/districts/san-marcos-cisd/de-zavala-elementary-school/
220905121,De Zavala Elementary School,/districts/fort-worth-isd/de-zavala-elementary-school/
101912138,De Zavala Elementary School,/districts/houston-isd/de-zavala-elementary-school/
165901106,De Zavala Elementary School,/districts/midland-isd/de-zavala-elementary-school/
015907121,De Zavala Elementary School,/districts/san-antonio-isd/de-zavala-elementary-school/
101905102,De Zavala Elementary School,/districts/channelview-isd/de-zavala-elementary-school/
101917136,De Zavala Middle School,/districts/pasadena-isd/de-zavala-middle-school/
101912026,DeBakey High School for Health Professions,/districts/houston-isd/debakey-high-school-for-health-professions/
227806029,DePelchin-Richmond Residential Treatment Center,/districts/university-of-texas-university-charter-school/depelchin-richmond-residential-treatment-center/
057906041,DeSoto East Middle (iSTEAM),/districts/desoto-isd/desoto-east-middle-isteam/
057906001,DeSoto High School & iSTEAM3D,/districts/desoto-isd/desoto-high-school-isteam3d/
057906042,DeSoto West Middle (iSTEAM),/districts/desoto-isd/desoto-west-middle-isteam/
101912045,Deady Middle School,/districts/houston-isd/deady-middle-school/
043907120,Dean And Mildred Bennett Elementary School,/districts/mckinney-isd/dean-and-mildred-bennett-elementary-school/
079901045,Dean Leaman J H School,/districts/lamar-cisd/dean-leaman-j-h-school/
101907042,Dean Middle School,/districts/cypress-fairbanks-isd/dean-middle-school/
161914107,Dean-Highland Elementary School,/districts/waco-isd/dean-highland-elementary-school/
101912383,Deanda El,/districts/houston-isd/deanda-el/
071907102,Deanna Davenport Elementary School,/districts/canutillo-isd/deanna-davenport-elementary-school/
227904120,Dearing El,/districts/pflugerville-isd/dearing-el/
249905001,Decatur High School,/districts/decatur-isd/decatur-high-school/
227907104,Decker Elementary School,/districts/manor-isd/decker-elementary-school/
227907042,Decker Middle School,/districts/manor-isd/decker-middle-school/
101921102,Decker Prairie Elementary School,/districts/tomball-isd/decker-prairie-elementary-school/
246909107,Deep Wood Elementary School,/districts/round-rock-isd/deep-wood-elementary-school/
101908102,Deepwater Elementary School,/districts/deer-park-isd/deepwater-elementary-school/
101908041,Deepwater Jr High School,/districts/deer-park-isd/deepwater-jr-high-school/
246913113,Deer Creek Elementary School,/districts/leander-isd/deer-creek-elementary-school/
220912103,Deer Creek Elementary School,/districts/crowley-isd/deer-creek-elementary-school/
101908105,Deer Park Elementary School,/districts/deer-park-isd/deer-park-elementary-school/
101908001,Deer Park High School,/districts/deer-park-isd/deer-park-high-school/
101908042,Deer Park Junior High School,/districts/deer-park-isd/deer-park-junior-high-school/
246909045,Deerpark Middle School,/districts/round-rock-isd/deerpark-middle-school/
101913112,Deerwood Elementary School,/districts/humble-isd/deerwood-elementary-school/
