"District Number",District,"Campus Number",Campus,"ESC Region",Region,County,"School Type","Grades Served","Alternate Education","Number of Students","% Economically Disadvantaged","% LEP Students","Overall Rating *","Overall Score","Student Achievement Rating *","Student Achievement Score","School Progress Rating *","School Progress Score","Academic Growth Rating *","Academic Growth Score","Relative Performance Rating *","Relative Performance Score","Closing the Gaps Rating *","Closing the Gaps Score","Support Label","Public Education Grant","Distinction Reading","Distinction Mathematics","Distinction Science","Distinction Soc Studies","Distinction Progress","Distinction Closing the Gap","Distinction Post-Sec Readiness","US Congress District","TX House District","TX Senate District"
220905,FORT WORTH ISD,220905118,HAZEL HARVEY PEACE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,539,87.0%,15.0%,D,67,D,60,D,66,D,65,D,66,D,68,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,097,010
220905,FORT WORTH ISD,220905119,DAGGETT EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,662,89.9%,50.3%,C,79,D,60,B,80,B,80,D,66,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905120,RUFINO MENDOZA SR EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,01 - 05,No,400,95.5%,53.5%,D,68,F,53,C,70,C,70,F,55,D,63,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905121,DE ZAVALA EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,306,84.3%,37.9%,B,83,C,75,B,83,B,82,B,83,B,82,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,012,090,010
220905,FORT WORTH ISD,220905122,DIAMOND HILL EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,658,95.6%,59.7%,C,79,C,72,B,80,C,79,B,80,C,78,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905123,S S DILLOW EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,524,98.3%,58.0%,D,68,D,60,C,70,C,70,D,69,D,62,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905124,MAUDE I LOGAN EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,451,97.6%,23.1%,C,74,F,56,C,75,C,75,F,59,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905125,EASTERN HILLS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,554,91.0%,22.9%,D,68,D,62,D,69,F,56,D,69,D,65,Targeted Support,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,095,010
220905,FORT WORTH ISD,220905126,EAST HANDLEY EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,404,94.1%,40.8%,C,71,D,64,C,72,D,69,C,72,C,70,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,006,095,010
220905,FORT WORTH ISD,220905127,CHRISTENE C MOSS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,433,95.8%,26.3%,D,68,D,60,D,69,D,65,D,69,D,67,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905129,JOHN T WHITE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,519,95.0%,15.6%,F,58,F,57,D,60,F,59,D,60,F,54,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,009
220905,FORT WORTH ISD,220905130,HARLEAN BEAL EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,411,92.9%,44.8%,F,59,F,56,F,58,F,58,F,58,D,65,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905131,ROSEMONT PARK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,581,95.7%,61.3%,C,73,D,67,C,75,C,74,C,75,D,67,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905132,GLEN PARK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,564,95.9%,66.8%,B,84,C,73,B,85,B,85,B,82,B,82,,,Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905133,W M GREEN EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,753,95.8%,43.3%,C,77,D,65,C,77,C,77,C,73,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905134,GREENBRIAR EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,588,93.5%,43.9%,B,83,D,67,B,86,B,86,C,74,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,012,090,010
220905,FORT WORTH ISD,220905135,VAN ZANDT-GUINN EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,521,96.7%,23.6%,C,73,F,51,C,74,C,74,F,53,C,71,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905137,HUBBARD EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,594,93.8%,68.5%,D,67,D,60,D,67,D,62,D,67,D,66,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905138,HELBING EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,441,92.1%,63.7%,C,73,D,67,C,74,C,72,C,74,D,69,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905139,KIRKPATRICK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,370,97.8%,74.6%,C,73,D,64,C,72,C,70,C,72,C,74,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905141,MEADOWBROOK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,556,94.6%,55.6%,B,81,C,74,B,83,C,77,B,83,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,095,010
220905,FORT WORTH ISD,220905143,MCRAE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,601,95.2%,68.4%,D,68,D,65,C,73,F,58,C,73,F,56,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905144,MITCHELL BOULEVARD EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,420,96.2%,28.3%,C,72,F,56,C,72,C,72,F,58,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905146,MOORE M H EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,574,94.4%,52.1%,C,74,D,69,C,76,D,65,C,76,D,68,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905147,MORNINGSIDE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,520,91.0%,34.2%,C,71,F,58,C,70,C,70,D,62,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905148,CHARLES NASH EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,261,84.7%,22.6%,D,69,D,62,D,69,D,69,D,67,D,69,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,095,010
220905,FORT WORTH ISD,220905149,NORTH HI MOUNT EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,407,51.6%,13.3%,B,87,B,86,B,85,B,83,B,85,A,90,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,012,099,012
220905,FORT WORTH ISD,220905150,OAKHURST EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,584,93.8%,67.3%,B,88,C,77,B,87,C,77,B,87,B,89,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,033,090,010
220905,FORT WORTH ISD,220905151,NATHA HOWELL EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,455,95.4%,67.3%,B,81,C,71,B,82,B,82,C,79,C,78,Targeted Support,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,093,009
220905,FORT WORTH ISD,220905152,OAKLAWN EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,554,97.5%,61.9%,C,74,F,59,C,75,C,75,D,66,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905153,A M PATE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,508,97.6%,31.3%,C,73,F,52,C,75,C,75,F,54,D,68,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905154,M L PHILLIPS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,481,87.7%,32.4%,C,73,D,67,C,74,C,74,C,73,C,71,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,012,097,012
220905,FORT WORTH ISD,220905156,RIDGLEA HILLS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,763,45.1%,5.6%,C,79,B,80,C,78,D,69,C,78,C,75,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,097,012
220905,FORT WORTH ISD,220905157,LUELLA MERRETT EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,624,94.9%,50.0%,C,76,C,72,B,80,D,65,B,80,D,68,Targeted Support,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,097,012
220905,FORT WORTH ISD,220905159,VERSIA WILLIAMS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,414,95.9%,60.6%,C,74,D,60,C,75,C,75,D,69,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905160,MAUDRIE WALTON EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,342,97.4%,21.3%,C,73,F,56,C,74,C,74,F,58,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905161,SAM ROSEN EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,510,94.1%,63.3%,C,78,D,62,C,79,C,79,C,70,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905162,SAGAMORE HILL EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,660,92.9%,63.6%,D,62,D,62,D,69,D,60,D,69,F,47,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905163,BRUCE SHULKEY EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,510,85.3%,31.4%,B,82,C,72,B,83,B,83,B,80,C,79,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,012,097,010
220905,FORT WORTH ISD,220905165,RICHARD J WILSON EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,586,95.9%,60.8%,C,78,C,71,B,80,B,80,C,79,C,74,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905166,SOUTH HI MOUNT EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,521,82.7%,37.2%,B,87,C,79,B,87,B,83,B,87,B,87,Additional Targeted Support 2018 and 2019,,Not Earned,Not Earned,Earned,,Not Earned,Earned,Earned,012,099,012
220905,FORT WORTH ISD,220905167,SOUTH HILLS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,827,88.9%,50.3%,D,67,F,58,C,70,C,70,D,60,D,61,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,090,010
220905,FORT WORTH ISD,220905168,SPRINGDALE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,552,96.6%,66.1%,B,83,C,70,B,85,B,85,C,78,C,77,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,033,093,010
220905,FORT WORTH ISD,220905169,SUNRISE - MCMILLAN EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,369,98.4%,25.7%,F,55,F,52,F,54,F,54,F,54,F,58,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905171,TANGLEWOOD EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 05,No,874,8.7%,5.5%,A,97,A,96,A,92,A,92,B,88,A,100,,,Earned,Earned,Not Earned,,Earned,Earned,Earned,012,097,010
220905,FORT WORTH ISD,220905172,W J TURNER EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,432,96.5%,61.1%,C,74,D,64,C,77,C,77,C,72,D,68,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905175,WASHINGTON HEIGHTS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,333,96.7%,53.5%,B,81,C,74,B,83,C,74,B,83,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905176,WAVERLY PARK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,742,80.6%,24.7%,C,77,C,73,B,80,C,72,B,80,C,71,,,Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,012,097,012
220905,FORT WORTH ISD,220905177,WESTCLIFF EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,578,76.1%,37.0%,A,94,B,83,A,91,A,91,B,89,A,100,,,Earned,Not Earned,Earned,,Earned,Earned,Earned,012,097,010
220905,FORT WORTH ISD,220905178,WESTCREEK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,586,94.2%,41.6%,F,57,F,55,F,59,F,59,F,57,F,51,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,095,010
220905,FORT WORTH ISD,220905180,WESTERN HILLS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,02 - 05,No,798,98.2%,38.7%,F,55,F,53,F,57,F,57,F,55,F,51,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,097,012
220905,FORT WORTH ISD,220905184,WORTH HEIGHTS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,605,95.4%,56.9%,B,86,C,77,B,86,B,80,B,86,B,86,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,033,090,010
220905,FORT WORTH ISD,220905186,DAVID K SELLARS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,605,95.4%,46.3%,B,80,C,75,B,84,D,62,B,84,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905187,J T STEVENS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,496,70.4%,9.3%,F,56,D,60,F,59,F,56,F,59,F,47,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,012,097,010
220905,FORT WORTH ISD,220905188,ATWOOD MCDONALD EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,510,91.2%,6.7%,B,81,D,62,B,83,B,83,D,69,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,006,095,010
220905,FORT WORTH ISD,220905190,RIVERSIDE APPLIED LRN CTR,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,232,82.3%,31.5%,B,84,C,72,B,88,B,88,B,80,C,76,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,033,093,009
220905,FORT WORTH ISD,220905194,DAGGETT MONTESSORI,11,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 08,No,497,46.9%,8.2%,B,86,B,83,B,81,C,79,B,81,A,92,,,Earned,Not Earned,Not Earned,Earned,Earned,Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905206,BILL J ELLIOTT EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,425,87.3%,6.4%,C,74,C,71,C,78,D,60,C,78,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,095,010
220905,FORT WORTH ISD,220905207,WESTPARK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,735,34.7%,4.6%,B,89,A,91,B,84,C,74,B,84,B,85,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,012,097,010
220905,FORT WORTH ISD,220905208,T A SIMS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,719,98.3%,60.1%,C,75,D,60,C,75,C,75,D,69,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905209,EDWARD BRISCOE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,430,97.2%,30.7%,D,69,F,59,C,70,C,70,D,66,D,67,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905210,CHILDREN'S MEDICAL CTR,11,REGION 11: FORT WORTH,TARRANT,Elem/Secondary,PK - 12,No,57,26.3%,5.3%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220905,FORT WORTH ISD,220905211,WOMEN'S HAVEN,11,REGION 11: FORT WORTH,TARRANT,Elem/Secondary,KG - 11,No,4,75.0%,25.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220905,FORT WORTH ISD,220905212,BRIDGE ASSOC,11,REGION 11: FORT WORTH,TARRANT,Elem/Secondary,05 - 11,No,7,28.6%,28.6%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220905,FORT WORTH ISD,220905216,WOODWAY EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,651,91.4%,31.3%,C,76,D,64,C,77,C,77,C,70,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,006,097,010
220905,FORT WORTH ISD,220905219,LOWERY ROAD,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,699,86.6%,25.5%,B,81,D,69,B,82,B,82,C,75,C,79,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,033,095,009
220905,FORT WORTH ISD,220905220,ALICE D CONTRERAS,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,620,92.9%,55.8%,D,68,D,64,C,70,F,57,C,70,D,62,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905221,WESTERN HILLS PRI,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 01,No,540,94.3%,35.2%,F,55,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,097,012
220905,FORT WORTH ISD,220905222,CLIFFORD DAVIS EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,750,96.9%,67.9%,D,67,F,59,D,67,D,67,D,66,D,67,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,095,010
220905,FORT WORTH ISD,220905223,CESAR CHAVEZ PRI,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,517,95.2%,63.6%,C,74,D,65,C,74,C,74,C,73,C,75,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,033,090,009
220905,FORT WORTH ISD,220905224,MG ELLIS,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - KG,No,370,90.5%,47.3%,B,80,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,033,090,010
220905,FORT WORTH ISD,220905225,BONNIE BRAE,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,459,93.2%,55.8%,A,91,B,80,A,90,B,85,A,90,A,92,,,Not Earned,Not Earned,Earned,,Earned,Earned,Earned,033,093,009
220905,FORT WORTH ISD,220905226,SEMINARY HILLS PARK EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,360,93.9%,61.1%,F,59,F,53,F,59,F,59,F,55,D,61,Targeted Support,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905227,DOLORES HUERTA EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - 05,No,567,96.5%,59.1%,C,74,D,64,C,75,C,75,C,72,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,033,090,010
220905,FORT WORTH ISD,220905228,PK SATELLITE CENTERS,11,REGION 11: FORT WORTH,TARRANT,Elementary,PK - PK,No,312,98.7%,13.1%,C,79,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220905,FORT WORTH ISD,220905242,TARRANT YOUTH RECOVERY,11,REGION 11: FORT WORTH,TARRANT,High School,08 - 11,No,13,30.8%,7.7%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220905,FORT WORTH ISD,220905251,ASSESSMENT CTR,11,REGION 11: FORT WORTH,TARRANT,Elem/Secondary,KG - 12,No,20,0.0%,100.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220905,FORT WORTH ISD,220905252,INSIGHTS LEARNING CENTER,11,REGION 11: FORT WORTH,TARRANT,Elementary,03 - 05,No,13,92.3%,30.8%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,012,090,010
220906,GRAPEVINE-COLLEYVILLE ISD,,,11,REGION 11: FORT WORTH,TARRANT,District,,No,"13,885",24.7%,9.5%,A,92,A,93,B,89,B,84,B,89,B,89,,,,,,,,,Not Earned,,,
220906,GRAPEVINE-COLLEYVILLE ISD,220906001,GRAPEVINE H S,11,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,"1,922",20.2%,4.6%,B,89,A,93,B,82,F,59,B,82,C,78,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,024,098,009
220906,GRAPEVINE-COLLEYVILLE ISD,220906004,COLLEYVILLE HERITAGE H S,11,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,"1,973",17.5%,4.2%,A,91,A,94,B,82,D,65,B,82,B,85,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,024,098,010
220906,GRAPEVINE-COLLEYVILLE ISD,220906006,THE BRIDGES ACAD ALTER,11,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,Yes,64,48.4%,15.6%,A,90,B,86,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,024,098,010
220906,GRAPEVINE-COLLEYVILLE ISD,220906007,IUNIVERSITY PREP,11,REGION 11: FORT WORTH,TARRANT,Elem/Secondary,05 - 12,No,759,6.5%,0.0%,A,91,A,93,B,89,B,89,C,70,B,87,,,Earned,Not Earned,Earned,Earned,Earned,Not Earned,Earned,024,098,012
220906,GRAPEVINE-COLLEYVILLE ISD,220906008,GRAPEVINE-COLLEYVILLE COLLEGIATE A,11,REGION 11: FORT WORTH,TARRANT,High School,09 - 12,No,317,44.5%,6.3%,A,91,B,89,A,93,D,65,A,93,B,86,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,024,092,009
220906,GRAPEVINE-COLLEYVILLE ISD,220906041,GRAPEVINE MIDDLE,11,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,744,37.5%,10.1%,C,78,B,82,C,72,D,60,C,72,D,68,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,024,098,012
220906,GRAPEVINE-COLLEYVILLE ISD,220906042,COLLEYVILLE MIDDLE,11,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,629,6.7%,1.6%,A,92,A,93,B,84,B,84,C,75,B,89,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,024,098,010
220906,GRAPEVINE-COLLEYVILLE ISD,220906043,HERITAGE MIDDLE,11,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,784,23.0%,2.9%,A,91,A,92,B,83,B,83,B,82,B,89,,,Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,024,098,010
220906,GRAPEVINE-COLLEYVILLE ISD,220906044,CROSS TIMBERS MIDDLE,11,REGION 11: FORT WORTH,TARRANT,Middle School,06 - 08,No,850,31.9%,10.8%,B,88,A,92,B,89,B,81,B,89,C,79,Targeted Support,,Earned,Earned,Earned,Earned,Earned,Not Earned,Earned,024,098,009
220906,GRAPEVINE-COLLEYVILLE ISD,220906101,CANNON EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,KG - 05,No,549,36.8%,20.6%,B,89,A,90,B,85,B,85,B,83,B,85,,,Not Earned,Not Earned,Earned,,Earned,Not Earned,Not Earned,024,098,012
220906,GRAPEVINE-COLLEYVILLE ISD,220906102,COLLEYVILLE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,498,5.6%,2.4%,A,96,A,94,B,83,B,83,B,80,A,100,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,024,098,010
220906,GRAPEVINE-COLLEYVILLE ISD,220906103,DOVE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,443,33.2%,6.1%,B,86,C,75,B,89,B,89,F,58,C,79,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,024,098,012
220906,GRAPEVINE-COLLEYVILLE ISD,220906104,TIMBERLINE EL,11,REGION 11: FORT WORTH,TARRANT,Elementary,EE - 05,No,678,78.0%,56.0%,C,75,C,71,C,75,C,74,C,75,C,74,Targeted Support,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,024,098,009
